Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\Users\sacha> scoop list
There aren't any apps installed.
PS C:\Users\sacha> scoop search
Results from local buckets...

Name                                    Version                           Source Binaries
----                                    -------                           ------ --------
1password-cli                           2.18.0                            main
7zip                                    23.00                             main
7zip19.00-helper                        19.00                             main
ab                                      2.4.57                            main
abc                                     1.0.0                             main
ack                                     3.7.0                             main
acmesharp                               0.9.1.326                         main
acorn                                   0.6.0                             main
act                                     0.2.45                            main
actionlint                              1.6.24                            main
adb                                     34.0.1                            main
ag                                      2.2.5                             main
agg                                     1.4.1                             main
ahoy                                    2.1.1                             main
air                                     1.43.0                            main
aks-engine                              0.78.0                            main
alass                                   2.0.0                             main
algernon                                1.15.1                            main
alist                                   3.17.0                            main
aliyun                                  3.0.161                           main
aliyundrive-webdav                      2.2.1                             main
allure                                  2.22.0                            main
amass                                   3.23.2                            main
ammonite                                2.5.8                             main
amulet                                  1.21.10                           main
android-clt                             9477386                           main
android-payload-dumper                  1.2.2                             main
ansicon                                 1.89                              main
ant                                     1.10.13                           main
apache                                  2.4.57                            main
apimtemplate                            1.1.1                             main
apktool                                 2.7.0                             main
apngasm                                 3.1.0                             main
aqtinstall                              3.1.6                             main
arc                                     3.5.0                             main
arduino-cli                             0.32.2                            main
argo                                    3.4.7                             main
argocd-autopilot                        0.4.15                            main
argocd                                  2.7.2                             main
aria2                                   1.36.0-1                          main
armclient                               1.9                               main
armor                                   0.4.14                            main
arthas                                  3.6.9                             main
ascii-image-converter                   1.13.1                            main
asciidoctorj                            2.5.8                             main
aspell                                  0.60.8-2                          main
astyle                                  3.3                               main
atomicparsley                           20221229.172126.d813aa6           main
austin                                  3.5.0                             main
autoit                                  3.3.16.1                          main
autossh                                 1.4g                              main
avr-gcc                                 12.1.0                            main
avrdude                                 7.1                               main
avro-tools                              1.11.1                            main
aws-amplify                             12.0.0                            main
aws-copilot                             1.27.0                            main
aws-ecs                                 1.21.0                            main
aws-iam-authenticator                   0.6.2                             main
aws-nuke                                2.22.1                            main
aws-sam-cli                             1.84.0                            main
aws-vault                               7.2.0                             main
aws                                     2.11.21                           main
awsqueue                                0.0.8                             main
awsSts                                  0.9.1                             main
azcopy                                  10.18.1                           main
aztfexport                              0.11.0                            main
azure-cli                               2.48.1                            main
azure-functions-core-tools              4.0.5095                          main
azure-kubelogin                         0.0.29                            main
azure-ps                                9.7.1.37189                       main
b2                                      3.9.0                             main
b2sum                                   20130305                          main
b3sum                                   1.3.3                             main
balena-cli                              16.1.0                            main
base64                                  1.1.0                             main
bat                                     0.23.0                            main
bazel-buildtools                        6.1.2                             main
bazel                                   6.2.0                             main
bbk-cli                                 1.0                               main
bc                                      1.07.1                            main
beef                                    0.43.4                            main
beehive                                 0.4.0                             main
bfg                                     1.14.0                            main
biber                                   2.19                              main
bicep                                   0.17.1                            main
binaryen                                113                               main
bind                                    9.16.41                           main
binutils                                2.40                              main
biodiff                                 1.1.0                             main
bison                                   2.4.1                             main
bit                                     1.1.2                             main
bitwarden-cli                           2023.4.0                          main
blat                                    3.2.24                            main
blink1-tool                             2.3.0                             main
bochs                                   2.7                               main
bombardier                              1.2.6                             main
boringproxy                             0.10.0                            main
bottom                                  0.9.1                             main
boundary                                0.12.2                            main
boxes                                   2.2.0                             main
brename                                 2.13.0                            main
broot                                   1.22.0                            main
brotli                                  1.0.9_1                           main
bt2qbt                                  1.18                              main
btop-lhm                                1.0.4                             main
btop                                    1.0.4                             main
btyacc                                  3.0                               main
buck                                    2021.01.12.01                     main
buf                                     1.19.0                            main
buffalo                                 0.18.14                           main
bulk-rename-command                     1.3.3.0                           main
busybox-lean                            4882-g6e0a6b7e5                   main
busybox                                 4882-g6e0a6b7e5                   main
butterflow                              0.2.4a4                           main
byacc                                   1.9-1                             main
byenow                                  0.11                              main
bzip2                                   1.0.8.0                           main
cacert                                  2023-01-10                        main
caddy                                   2.6.4                             main
cake                                    1.3.0                             main
camunda-operate                         8.2.5                             main
capstone                                4.0.2                             main
cargo-watch                             8.4.0                             main
carvel-vendir                           0.33.2                            main
castxml                                 0.5.0                             main
ccache                                  4.8.1                             main
ccat                                    1.1.0                             main
ccl                                     1.12.1                            main
cdrtools                                3.02a09                           main
centrifugo                              4.1.3                             main
certigo                                 1.16.0                            main
certstrap                               1.3.0                             main
cfr                                     0.152                             main
cfsec                                   0.3.2                             main
chafa                                   1.12.4                            main
charm-gum                               0.10.0                            main
cheat                                   4.4.0                             main
chezmoi                                 2.33.6                            main
chisel                                  1.8.1                             main
chkcpu                                  2.14                              main
chroma                                  2.7.0                             main
chromedriver                            113.0.5672.63                     main
chronograf                              1.10.1                            main
cht                                     0.6                               main
chuck                                   1.4.2.0                           main
circleci-cli                            0.1.26837                         main
clangd                                  16.0.2                            main
clash                                   1.16.0                            main
clash.meta                              1.14.4                            main
clink-completions                       0.4.8                             main
clink-flex-prompt                       0.13                              main
clink                                   1.4.24                            main
clipboard                               0.7.1                             main
cloak                                   0.2.0                             main
cloc                                    1.96.1                            main
cloud-nuke                              0.31.1                            main
cloud-sql-proxy                         2.2.0                             main
cloudflared                             2023.5.0                          main
cmake                                   3.26.4                            main
cmder-full                              1.3.21                            main
cmder                                   1.3.21                            main
cobalt                                  0.18.3                            main
cockroachdb                             23.1.1                            main
codeowners-validator                    0.7.4                             main
codeql                                  2.13.1                            main
coder                                   0.23.5                            main
colortool                               1904.29002                        main
composer                                2.5.5                             main
conan                                   2.0.5                             main
concfg                                  0.2021.05.09                      main
concourse-fly                           7.9.1                             main
conftest                                0.42.1                            main
connect                                 1.100                             main
consul                                  1.15.2                            main
containerd                              1.7.1                             main
coq                                     2022.09.1                         main
coredns                                 1.10.1                            main
coreutils                               5.97.3                            main
cormanlisp                              3.1.2b                            main
cosign                                  2.0.2                             main
coursier                                2.1.4                             main
cowsay                                  0.2013.07.19                      main
cppcheck                                2.10                              main
cpufetch                                1.03                              main
crc                                     2.19.0                            main
croc                                    9.6.4                             main
cscope                                  15.8a                             main
csview                                  1.2.2                             main
csvtosql                                v0.1.1-alpha                      main
ctags                                   5.8                               main
ctop                                    0.7.7                             main
cuda                                    12.1.1_531.14                     main
cue                                     0.5.0                             main
curl                                    8.1.0_1                           main
curlie                                  1.7.1                             main
cvs                                     1.11.22                           main
cwrsync                                 6.2.8                             main
cygwin                                  2.926                             main
czkawka                                 5.1.0                             main
d2                                      0.4.2                             main
dafny                                   4.1.0                             main
dagger                                  0.5.3                             main
danser-go                               0.8.4                             main
dapr-cli                                1.10.0                            main
dark                                    3.11.2                            main
dart-sass-embedded                      1.62.1                            main
dart                                    3.0.1                             main
datamash                                1.3                               main
datree                                  1.9.2                             main
dbmate                                  2.3.0                             main
dd                                      0.6beta3                          main
ddev                                    1.21.6                            main
ddosify                                 1.0.1                             main
deepstream                              7.0.5                             main
delta                                   0.15.1                            main
deno                                    1.33.4                            main
dep                                     0.5.4                             main
dependency-check                        8.2.1                             main
deta                                    1.3.3-beta                        main
detekt                                  1.22.0                            main
devd                                    0.9                               main
devspace                                6.3.2                             main
dfu-util                                0.11                              main
dhall                                   1.42.0                            main
diff-so-fancy                           1.4.3                             main
diffsitter                              0.8.0                             main
difftastic                              0.47.0                            main
diffutils                               3.6                               main
digdag                                  0.10.5                            main
direnv                                  2.32.3                            main
dirhash                                 1.23.0                            main
diun                                    4.24.0                            main
dive                                    0.10.0                            main
djvulibre                               3.5.28-4.12                       main
dmd                                     2.103.1                           main
dmg2img                                 1.6.7                             main
dnscrypt-proxy                          2.1.4                             main
dnslookup                               1.9.1                             main
dnsproxy                                0.49.1                            main
docfx                                   2.67.1                            main
docker-compose                          2.18.1                            main
docker-machine                          0.16.2                            main
docker-pushrm                           1.9.0                             main
docker                                  24.0.1                            main
doctl                                   1.96.0                            main
docto                                   1.8                               main
dog                                     0.1.0                             main
doggo                                   0.5.5                             main
dokka                                   1.8.10                            main
dolt                                    1.1.0                             main
dos2unix                                7.5.0                             main
dosbox                                  0.74-3                            main
dotcover-clt                            2023.1.2                          main
dotmemory-clt                           2023.1.2                          main
dotmemoryunit                           3.2.20220510                      main
dotnet-script                           1.4.0                             main
dotnet-sdk                              7.0.302                           main
dotter                                  0.12.15                           main
dottrace-api                            2019.1.3                          main
dottrace-clt                            2023.1.2                          main
doxygen                                 1.9.7                             main
dprint                                  0.36.1                            main
draft                                   0.0.32                            main
drmemory                                2.5.19327                         main
drone                                   1.7.0                             main
dua                                     2.20.1                            main
duckdb                                  0.8.0                             main
duf                                     0.8.1                             main
dufs                                    0.33.0                            main
dum                                     0.1.19                            main
duplicacy                               3.1.0                             main
dust                                    0.8.6                             main
dvc                                     2.57.2                            main
dxc                                     1.7.2212.1                        main
dynamorio                               9.93.19496                        main
eac3to                                  3.36                              main
ect                                     0.9.4                             main
edgedb                                  3.0.0+8b024db                     main
edgedriver                              113.0.1774.50                     main
editorconfig                            0.12.1                            main
eksctl                                  0.141.0                           main
elixir                                  1.14.4                            main
elm                                     0.19.1                            main
elvish                                  0.19.2                            main
emitter                                 2.7                               main
emplace                                 1.4.0                             main
empty-recycle-bin                       1.0.0                             main
emscripten                              3.1.39                            main
enonic                                  2.5.0                             main
envsubst                                1.4.2                             main
erdtree                                 2.0.0                             main
erlang                                  26.0                              main
espanso                                 2.1.8                             main
etcd                                    3.5.9                             main
ethr                                    1.0.0                             main
etl2pcapng                              1.10.0                            main
eva                                     0.3.1                             main
evans                                   0.10.11                           main
eventstore                              22.10.0                           main
everything-cli                          1.1.0.26                          main
exercism                                3.1.0                             main
exiftool                                12.62                             main
f2                                      1.9.0                             main
faas-cli                                0.16.4                            main
fake                                    6.0.0                             main
far                                     3.0.6116                          main
fastfetch                               1.11.0                            main
fat32format                             a027932                           main
fciv                                    6.0.2800.1106                     main
fd                                      8.7.0                             main
fend                                    1.1.6                             main
ffmpeg-shared                           6.0                               main
ffmpeg                                  6.0                               main
ffsend                                  0.2.73                            main
figlet                                  1.0-go                            main
figurine                                1.3.0                             main
file                                    5.43                              main
findutils                               4.4.2                             main
fio                                     3.34                              main
firebase                                12.1.0                            main
fission-cli                             1.19.0                            main
flac                                    1.4.2                             main
flaresolverr                            3.1.2                             main
flatc                                   23.5.9                            main
flow                                    0.206.0                           main
flux                                    0.41.2                            main
flyctl                                  0.1.8                             main
flyway                                  9.18.0                            main
fnm                                     1.33.1                            main
fnproject                               0.6.24                            main
fontreg                                 2.1.3                             main
force                                   1.0.2                             main
forcebindip                             1.32                              main
fossa                                   3.7.11                            main
fossil                                  2.21                              main
fq                                      0.6.0                             main
freebasic                               1.10.0                            main
freepascal                              3.2.2                             main
frp                                     0.48.0                            main
fselect                                 0.8.3                             main
fx                                      24.1.0                            main
fzf                                     0.40.0                            main
gactions                                3.2.1                             main
gallery-dl                              1.25.4                            main
gameboosthd                             1.4                               main
gauche                                  0.9.12                            main
gauge                                   1.4.3                             main
gawk                                    5.2.2                             main
gbt                                     2.0.0                             main
gcc                                     11.2.0                            main
gdb                                     11.1                              main
gdrive                                  2.1.1                             main
gdu                                     5.23.0                            main
geckodriver                             0.33.0                            main
genact                                  1.2.2                             main
geoipupdate                             5.1.1                             main
get-iplayer                             3.31.0                            main
geth                                    1.11.6                            main
gettext                                 0.21-v1.16                        main
gh                                      2.29.0                            main
ghorg                                   1.9.4                             main
ghostscript                             10.01.1                           main
ghq                                     1.4.2                             main
gibo                                    2.2.8                             main
gifsicle                                1.92                              main
gifski                                  1.11.0                            main
git-annex                               10.20230330                       main
git-branchless                          0.7.1                             main
git-bug                                 0.8.0                             main
git-chglog                              0.15.4                            main
git-cliff                               1.2.0                             main
git-crypt                               0.7.0                             main
git-filter-repo                         2.38.0                            main
git-interactive-rebase-tool             2.2.1                             main
git-istage                              0.3.98                            main
git-lfs                                 3.3.0                             main
git-quick-stats                         2.4.1                             main
git-sizer                               1.5.0                             main
git-tfs                                 0.32.0                            main
git-town                                8.0.0                             main
git-up                                  2.2.0                             main
git-with-openssh                        2.40.1.windows.1                  main
git-xargs                               0.1.6                             main
git                                     2.40.1.windows.1                  main
gitea                                   1.19.3                            main
gitignore                               0.2018.07.25                      main
gitkube                                 0.3.0                             main
gitlab-runner                           15.11.0                           main
gitleaks                                8.16.3                            main
gitomatic                               0.2                               main
gitsign                                 0.6.0                             main
gitui                                   0.22.1                            main
gitversion                              5.12.0                            main
glab                                    1.30.0                            main
gleam                                   0.28.3                            main
glitter                                 1.6.5                             main
global                                  6.6.9                             main
glow                                    1.5.0                             main
glslang                                 8.13.3559                         main
glslviewer                              3.2.2                             main
gnirehtet                               2.5                               main
gnupg                                   2.4.1                             main
gnupg1                                  1.4.23                            main
gnuplot                                 5.4.6                             main
go-containerregistry                    0.15.2                            main
go-jsonnet                              0.20.0                            main
go-swagger                              0.30.4                            main
go                                      1.20.4                            main
gobang                                  0.1.0-alpha.5                     main
gobuster                                3.5.0                             main
gof                                     0.0.13                            main
gogs                                    0.13.0                            main
golangci-lint                           1.52.2                            main
gomplate                                3.11.5                            main
goodbyedpi                              0.2.2                             main
gopass-jsonapi                          1.15.5                            main
gopass                                  1.15.5                            main
goreleaser                              1.18.2                            main
gosec                                   2.16.0                            main
gossm                                   1.5.0                             main
gotify-cli                              2.2.3                             main
gotify-server                           2.2.4                             main
gotop                                   4.2.0                             main
gource                                  0.53                              main
govc                                    0.30.4                            main
gow                                     0.8.0                             main
gpac                                    2.2.1-rev0                        main
gpg                                     2.4.1                             main
gping                                   1.8.0                             main
gradle-bin                              8.1.1                             main
gradle                                  8.1.1                             main
grails                                  5.3.2                             main
graphicsmagick                          1.3.40                            main
graphviz                                8.0.5                             main
grep                                    3.7                               main
grex                                    1.4.1                             main
gron                                    0.7.1                             main
groovy                                  4.0.12                            main
groovyserv                              1.2.0                             main
grpc-tools                              0.2.6                             main
grpcurl                                 1.8.7                             main
grype                                   0.61.1                            main
gsl-shell                               2.3.6                             main
gsudo                                   2.0.9                             main
gtypist                                 2.9.5                             main
guetzli                                 1.0.1                             main
gum                                     0.12.0                            main
gunk                                    0.1.0                             main
gzip                                    1.3.12                            main
hadolint                                2.12.0                            main
halo                                    1.6.1                             main
handbrake-cli                           1.6.1                             main
harfbuzz                                7.3.0                             main
hashcat                                 6.2.6                             main
hashlink                                1.13.0                            main
haskell-cabal                           3.10.1.0                          main
haskell                                 9.4.1                             main
hasura-cli                              2.25.0                            main
haxe                                    4.3.1                             main
hcloud                                  1.34.0                            main
helix                                   23.05                             main
helm-chart-releaser                     1.5.0                             main
helm-chart-testing                      3.8.0                             main
helm-docs                               1.11.0                            main
helm                                    3.12.0                            main
helmfile                                0.153.1                           main
heroku-cli                              7.69.1                            main
hexed                                   1.1                               main
hexyl                                   0.13.0                            main
highlight                               4.5                               main
highs                                   1.5.1+0                           main
himalaya                                0.7.3                             main
hjson                                   3.0.0                             main
hledger                                 1.29.2                            main
hollows-hunter                          0.3.6                             main
hopp-cli                                0.0.8                             main
hostctl                                 1.1.4                             main
htmlq                                   0.4.0                             main
httping                                 1.4.1                             main
